date,customers_base,customers_low,customers_high,days_in_month,food_base,food_low,food_high
2022-01-01,180.24285714285716,178.46047868444325,182.02523560127108,31,1769105.14390863,1751610.886720547,1786599.4010967126
2022-02-01,185.15688545688548,183.32499648573784,186.9887744280331,28,1641465.6033566564,1625225.414784207,1657705.791929106
2022-03-01,190.0709137709138,188.18951428703244,191.95231325479517,31,1865568.6920953952,1847102.5317301967,1884034.852460594
2022-04-01,194.9849420849421,193.05403208832703,196.9158520815572,30,1852064.9672794624,1833724.2137758275,1870405.720783098
2022-05-01,199.89897039897042,197.91854988962163,201.87939090831924,31,1962032.2402821605,1942594.1767398464,1981470.303824475
2022-06-01,204.81299871299873,202.78306769091623,206.84292973508127,30,1945416.7881053647,1926135.4831400046,1964698.0930707247
2022-07-01,209.72702702702705,207.64758549221082,211.8064685618433,31,2058495.7884689262,2038085.8217494965,2078905.7551883562
2022-08-01,214.64105534105536,212.51210329350542,216.77000738860534,31,2106727.562562309,2085831.644254321,2127623.4808702967
2022-09-01,219.55508365508368,217.37662109480002,221.73354621536737,30,2085444.5193442176,2064752.3871862704,2106136.651502165
2022-10-01,224.469111969112,222.2411388960946,226.6970850421294,31,2203191.1107490743,2181323.289263971,2225058.932234178
2022-11-01,229.3831402831403,227.1056566973892,231.66062386889143,30,2178796.3401701194,2157163.656550448,2200429.0237897923
2022-12-01,234.29716859716862,231.9701744986838,236.62416269565347,31,2299654.65893584,2276814.934273621,2322494.383598059
2023-01-01,239.21119691119696,236.83469229997837,241.5877015224155,31,2347886.433029223,2324560.7567784456,2371212.1092799995
2023-02-01,244.12522522522528,241.69921010127297,246.55124034917756,28,2164235.799981708,2142728.523223599,2185743.0767398174
2023-03-01,249.0392535392536,246.56372790256756,251.5147791759396,31,2444349.981215988,2420052.401788095,2468647.5606438806
2023-04-01,253.9532818532819,251.42824570386216,256.4783180027016,30,2412175.892234875,2388191.8299608906,2436159.954508859
2023-05-01,258.8673101673102,256.29276350515676,261.44185682946363,31,2540813.529402754,2515544.046797745,2566083.0120077617
2023-06-01,263.78133848133854,261.15728130645135,266.40539565622566,30,2505527.713060777,2480603.0993250674,2530452.326796486
2023-07-01,268.69536679536685,266.02179910774595,271.36893448298775,31,2637277.0775895193,2611035.691807395,2663518.463371644
2023-08-01,273.60939510939517,270.88631690904054,276.3324733097498,31,2685508.851682902,2658781.51431222,2712236.189053584
2023-09-01,278.5234234234235,275.75083471033514,281.2960121365118,30,2645555.4442996304,2619220.0033713337,2671890.885227927
2023-10-01,283.4374517374518,280.61535251162974,286.25955096327385,31,2781972.3998696674,2754273.1593218693,2809671.640417465
2023-11-01,288.3514800514801,285.47987031292433,291.2230897900359,30,2738907.265125532,2711631.2727355105,2766183.257515554
2023-12-01,293.2655083655084,290.34438811421893,296.1866286167979,31,2878435.948056433,2849764.804331519,2907107.091781346
